,journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,total_home_team_goal,total_away_team_goal,global
85,30,2023-04-08 17:00,Quevilly-Rouen,Caen,2,0,2,1,3
86,30,2023-04-08 17:00,Amiens,Nîmes,0,0,1,0,1
87,30,2023-04-08 17:00,Paris FC,Saint-Étienne,2,2,2,4,6
88,30,2023-04-08 17:00,Pau FC,Metz,0,0,1,1,2
89,30,2023-04-08 13:00,Bordeaux,Bastia,1,0,2,0,2
90,29,2023-04-03 18:45,Guingamp,Bordeaux,0,1,0,1,1
91,29,2023-04-01 17:00,Grenoble,Amiens,1,0,2,1,3
92,29,2023-04-01 17:00,Bastia,Sochaux,1,2,3,2,5
93,29,2023-04-01 17:00,Metz,Laval,0,0,1,0,1
94,29,2023-04-01 17:00,Caen,Dijon,0,1,2,1,3
95,29,2023-04-01 17:00,Valenciennes,Paris FC,2,2,4,5,9
96,29,2023-04-01 17:00,Nîmes,Annecy,2,0,4,0,4
97,29,2023-04-01 17:00,Rodez,Quevilly-Rouen,0,0,1,0,1
98,29,2023-04-01 17:00,Pau FC,Le Havre,0,1,0,1,1
99,29,2023-04-01 13:00,Saint-Étienne,Niort,0,0,2,0,2
100,28,2023-03-18 18:00,Annecy,Guingamp,1,1,1,1,2
101,28,2023-03-18 18:00,Niort,Laval,1,1,3,2,5
102,28,2023-03-18 18:00,Sochaux,Grenoble,0,0,1,0,1
103,28,2023-03-18 18:00,Paris FC,Bastia,0,0,0,1,1
104,28,2023-03-18 18:00,Dijon,Pau FC,0,1,0,1,1
105,28,2023-03-18 18:00,Caen,Valenciennes,1,1,2,1,3
106,28,2023-03-18 18:00,Amiens,Rodez,1,1,1,3,4
107,28,2023-03-18 18:00,Quevilly-Rouen,Metz,0,0,1,2,3
108,28,2023-03-18 18:00,Bordeaux,Nîmes,0,0,1,0,1
109,28,2023-03-18 14:00,Le Havre,Saint-Étienne,0,0,2,2,4
110,23,2023-03-14 18:00,Paris FC,Amiens,1,0,3,0,3
111,27,2023-03-13 19:45,Metz,Le Havre,1,0,1,1,2
112,27,2023-03-11 18:00,Rodez,Caen,2,1,3,2,5
113,27,2023-03-11 18:00,Grenoble,Annecy,1,1,2,1,3
114,27,2023-03-11 18:00,Guingamp,Dijon,1,0,2,0,2
115,27,2023-03-11 18:00,Laval,Paris FC,1,1,1,2,3
116,27,2023-03-11 18:00,Nîmes,Quevilly-Rouen,0,0,2,0,2
117,27,2023-03-11 18:00,Valenciennes,Bastia,1,1,2,2,4
118,27,2023-03-11 18:00,Pau FC,Niort,1,0,1,0,1
119,27,2023-03-11 18:00,Saint-Étienne,Amiens,0,0,1,1,2
120,27,2023-03-11 14:00,Sochaux,Bordeaux,1,1,1,1,2
121,26,2023-03-06 19:45,Caen,Sochaux,0,0,0,0,0
122,26,2023-03-04 18:00,Paris FC,Guingamp,0,2,1,2,3
123,26,2023-03-04 18:00,Niort,Rodez,1,2,2,3,5
124,26,2023-03-04 18:00,Quevilly-Rouen,Valenciennes,0,1,1,1,2
125,26,2023-03-04 18:00,Annecy,Metz,0,1,0,3,3
126,26,2023-03-04 18:00,Amiens,Pau FC,1,0,1,0,1
127,26,2023-03-04 18:00,Bastia,Nîmes,2,1,4,2,6
128,26,2023-03-04 18:00,Dijon,Grenoble,1,0,1,0,1
129,26,2023-03-04 18:00,Le Havre,Laval,1,1,2,1,3
130,26,2023-03-04 14:00,Bordeaux,Saint-Étienne,0,0,1,1,2
131,25,2023-02-27 19:45,Amiens,Bordeaux,1,0,1,2,3
132,25,2023-02-25 18:00,Laval,Quevilly-Rouen,0,0,0,1,1
133,25,2023-02-25 18:00,Paris FC,Niort,0,0,3,0,3
134,25,2023-02-25 18:00,Metz,Nîmes,1,0,2,0,2
135,25,2023-02-25 18:00,Guingamp,Caen,0,2,1,2,3
136,25,2023-02-25 18:00,Valenciennes,Dijon,0,0,2,2,4
137,25,2023-02-25 18:00,Saint-Étienne,Pau FC,1,0,2,0,2
138,25,2023-02-25 18:00,Rodez,Bastia,0,1,0,2,2
139,25,2023-02-25 18:00,Sochaux,Annecy,3,0,5,1,6
140,25,2023-02-25 14:00,Grenoble,Le Havre,0,0,0,0,0
141,24,2023-02-20 19:45,Nîmes,Saint-Étienne,0,1,1,2,3
142,24,2023-02-18 18:00,Caen,Grenoble,0,1,2,1,3
143,24,2023-02-18 18:00,Pau FC,Laval,0,1,0,1,1
144,24,2023-02-18 18:00,Bastia,Guingamp,1,0,1,1,2
145,24,2023-02-18 18:00,Annecy,Amiens,1,0,2,0,2
146,24,2023-02-18 18:00,Quevilly-Rouen,Sochaux,0,0,0,0,0
147,24,2023-02-18 18:00,Dijon,Metz,0,0,0,0,0
148,24,2023-02-18 18:00,Valenciennes,Rodez,0,0,0,0,0
149,24,2023-02-18 18:00,Le Havre,Niort,0,0,1,0,1
