journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
31,2023-04-16 13:00,Auxerre,Nantes,2,0,2,0,1,1,2,1,3
31,2023-04-16 11:00,Lille,Montpellier,0,1,1,2,0,2,2,1,3
31,2023-04-15 19:00,PSG,Lens,3,0,3,0,1,1,3,1,4
31,2023-04-15 15:00,Rennes,Reims,2,0,2,1,0,1,3,0,3
31,2023-04-14 19:00,Toulouse,Lyon,1,1,2,0,1,1,1,2,3
30,2023-04-09 18:45,Lorient,Marseille,0,0,0,0,0,0,0,0,0
30,2023-04-09 15:05,Nantes,Monaco,0,2,2,2,0,2,2,2,4
30,2023-04-09 13:00,Reims,Brest,0,1,1,1,0,1,1,1,2
30,2023-04-09 13:00,Troyes,Clermont,0,2,2,0,0,0,0,2,2
30,2023-04-09 13:00,AC Ajaccio,Auxerre,0,3,3,0,0,0,0,3,3
30,2023-04-09 13:00,Montpellier,Toulouse,0,1,1,1,1,2,1,2,3
30,2023-04-09 11:00,Lyon,Rennes,0,1,1,3,0,3,3,1,4
30,2023-04-08 19:00,Nice,PSG,0,1,1,0,1,1,0,2,2
30,2023-04-08 15:00,Angers,Lille,0,0,0,1,0,1,1,0,1
30,2023-04-07 19:00,Lens,Strasbourg,1,0,1,1,1,2,2,1,3
29,2023-04-02 18:45,PSG,Lyon,0,0,0,0,1,1,0,1,1
29,2023-04-02 15:05,Monaco,Strasbourg,1,2,3,3,1,4,4,3,7
29,2023-04-02 13:00,Clermont,AC Ajaccio,0,1,1,2,0,2,2,1,3
29,2023-04-02 13:00,Nantes,Reims,0,2,2,0,1,1,0,3,3
29,2023-04-02 13:00,Brest,Toulouse,1,1,2,2,0,2,3,1,4
29,2023-04-02 13:00,Angers,Nice,1,1,2,0,0,0,1,1,2
29,2023-04-02 11:00,Lille,Lorient,1,0,1,2,1,3,3,1,4
29,2023-04-01 19:00,Rennes,Lens,0,1,1,0,0,0,0,1,1
29,2023-04-01 15:00,Auxerre,Troyes,0,0,0,1,0,1,1,0,1
29,2023-03-31 19:00,Marseille,Montpellier,1,1,2,0,0,0,1,1,2
28,2023-03-19 19:45,Reims,Marseille,1,2,3,0,0,0,1,2,3
28,2023-03-19 16:05,PSG,Rennes,0,1,1,0,1,1,0,2,2
28,2023-03-19 14:00,Montpellier,Clermont,0,1,1,2,0,2,2,1,3
28,2023-03-19 14:00,Nice,Lorient,0,1,1,1,0,1,1,1,2
28,2023-03-19 14:00,Strasbourg,Auxerre,1,0,1,1,0,1,2,0,2
28,2023-03-19 14:00,Troyes,Brest,2,1,3,0,1,1,2,2,4
28,2023-03-19 12:00,AC Ajaccio,Monaco,0,1,1,0,1,1,0,2,2
28,2023-03-18 20:00,Lens,Angers,2,0,2,1,0,1,3,0,3
28,2023-03-18 16:00,Toulouse,Lille,0,0,0,0,2,2,0,2,2
28,2023-03-17 20:00,Lyon,Nantes,1,1,2,0,0,0,1,1,2
27,2023-03-12 19:45,Marseille,Strasbourg,0,0,0,2,2,4,2,2,4
27,2023-03-12 16:05,Monaco,Reims,0,0,0,0,1,1,0,1,1
27,2023-03-12 14:00,AC Ajaccio,Montpellier,0,0,0,0,1,1,0,1,1
27,2023-03-12 14:00,Angers,Toulouse,0,1,1,0,1,1,0,2,2
27,2023-03-12 14:00,Lorient,Troyes,1,0,1,1,0,1,2,0,2
27,2023-03-12 14:00,Nantes,Nice,1,1,2,1,1,2,2,2,4
27,2023-03-12 12:00,Clermont,Lens,0,3,3,0,1,1,0,4,4
27,2023-03-11 20:00,Brest,PSG,1,1,2,0,1,1,1,2,3
27,2023-03-11 16:00,Auxerre,Rennes,0,0,0,0,0,0,0,0,0
27,2023-03-10 20:00,Lille,Lyon,0,0,0,3,3,6,3,3,6
26,2023-03-05 19:45,Rennes,Marseille,0,0,0,0,1,1,0,1,1
26,2023-03-05 16:05,Lyon,Lorient,0,0,0,0,0,0,0,0,0
26,2023-03-05 14:00,Montpellier,Angers,3,0,3,2,0,2,5,0,5
26,2023-03-05 14:00,Toulouse,Clermont,0,0,0,0,1,1,0,1,1
26,2023-03-05 14:00,Reims,AC Ajaccio,0,0,0,1,0,1,1,0,1
26,2023-03-05 14:00,Strasbourg,Brest,0,1,1,0,0,0,0,1,1
26,2023-03-05 12:00,Troyes,Monaco,1,0,1,1,2,3,2,2,4
26,2023-03-04 20:00,PSG,Nantes,2,2,4,2,0,2,4,2,6
26,2023-03-04 16:00,Lens,Lille,1,0,1,0,1,1,1,1,2
26,2023-03-03 20:00,Nice,Auxerre,1,1,1,0,0,0,1,1,2
25,2023-02-26 19:45,Marseille,PSG,0,2,2,0,1,1,0,3,3
25,2023-02-26 16:05,Monaco,Nice,0,3,3,0,0,0,0,3,3
25,2023-02-26 14:00,Clermont,Strasbourg,0,1,1,1,0,1,1,1,2
25,2023-02-26 14:00,Nantes,Rennes,0,1,1,0,0,0,0,1,1
25,2023-02-26 14:00,AC Ajaccio,Troyes,0,1,1,2,0,2,2,1,3
25,2023-02-26 14:00,Reims,Toulouse,2,0,2,1,0,1,3,0,3
25,2023-02-26 12:00,Lorient,Auxerre,0,0,0,0,1,1,0,1,1
25,2023-02-25 20:00,Montpellier,Lens,0,1,1,1,0,1,1,1,2
25,2023-02-25 16:00,Angers,Lyon,0,1,1,1,2,3,1,3,4
25,2023-02-24 20:00,Lille,Brest,0,1,1,2,0,2,2,1,3
24,2023-02-19 19:45:00,Toulouse,Marseille,1,0,1,1,3,4,2,3,5
24,2023-02-19 16:05:00,Lens,Nantes,2,1,3,1,0,1,3,1,4
24,2023-02-19 14:00:00,Lorient,AC Ajaccio,2,0,2,1,0,1,3,0,3
24,2023-02-19 14:00:00,Brest,Monaco,0,1,1,1,1,2,1,2,3
24,2023-02-19 14:00:00,Troyes,Montpellier,0,0,0,0,1,1,0,1,1
24,2023-02-19 14:00:00,Rennes,Clermont,1,0,1,1,0,1,2,0,2
24,2023-02-19 12:00:00,PSG,Lille,2,1,3,2,2,4,4,3,7
24,2023-02-18 20:00:00,Strasbourg,Angers,2,0,2,0,1,1,2,1,3
24,2023-02-18 16:00:00,Nice,Reims,0,0,0,0,0,0,0,0,0
24,2023-02-17 20:00:00,Auxerre,Lyon,0,1,1,2,0,2,2,1,3
23,2023-02-12 19:45:00,Lyon,Lens,1,1,2,1,0,1,2,1,3
23,2023-02-12 16:05:00,Nantes,Lorient,0,0,0,1,0,1,1,0,1
23,2023-02-12 14:00:00,Lille,Strasbourg,2,0,2,0,0,0,2,0,2
23,2023-02-12 14:00:00,Angers,Auxerre,1,1,2,0,0,0,1,1,2
23,2023-02-12 14:00:00,Reims,Troyes,2,0,2,2,0,2,4,0,4
