Unnamed: 0,mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
67,27,2023-04-02 10:15,G.A. Eagles,Ajax,0,0,0,0,0,0,0,0,0
68,27,2023-04-01 19:00,Waalwijk,Vitesse,1,0,1,0,0,0,1,0,1
69,27,2023-04-01 18:00,Cambuur,FC Emmen,0,0,0,1,2,3,1,2,3
70,27,2023-04-01 18:00,Nijmegen,PSV,0,3,3,2,1,3,2,4,6
71,27,2023-04-01 16:45,Excelsior,Twente,0,0,0,0,0,0,0,0,0
72,27,2023-04-01 14:30,AZ Alkmaar,Heerenveen,0,1,1,1,0,1,1,1,2
73,26,2023-03-19 19:00,Twente,AZ Alkmaar,2,0,2,0,1,1,2,1,3
74,26,2023-03-19 15:45,Vitesse,PSV,0,1,1,1,0,1,1,1,2
75,26,2023-03-19 13:30,Excelsior,Cambuur,4,0,4,0,1,1,4,1,5
76,26,2023-03-19 13:30,Ajax,Feyenoord,2,1,3,0,2,2,2,3,5
77,26,2023-03-19 11:15,Groningen,Heerenveen,0,2,2,0,0,0,0,2,2
78,26,2023-03-18 20:00,Waalwijk,Nijmegen,0,3,3,1,0,1,1,3,4
79,26,2023-03-18 17:45,FC Emmen,Sparta Rotterdam,0,1,1,0,1,1,0,2,2
80,26,2023-03-18 15:30,Utrecht,G.A. Eagles,1,1,2,0,1,1,1,2,3
81,26,2023-03-17 19:00,FC Volendam,Sittard,1,0,1,1,1,2,2,1,3
82,25,2023-03-12 19:00,Feyenoord,FC Volendam,0,1,1,2,0,2,2,1,3
83,25,2023-03-12 15:45,PSV,Cambuur,1,1,2,4,1,5,5,2,7
84,25,2023-03-12 13:30,Heerenveen,Ajax,1,3,4,1,1,2,2,4,6
85,25,2023-03-12 11:15,Nijmegen,Utrecht,1,0,1,1,2,3,2,2,4
86,25,2023-03-11 20:00,Sparta Rotterdam,Vitesse,2,1,3,1,0,1,3,1,4
87,25,2023-03-11 19:00,AZ Alkmaar,Groningen,1,0,1,0,0,0,1,0,1
88,25,2023-03-11 17:45,Sittard,Twente,0,0,0,0,3,3,0,3,3
89,25,2023-03-11 15:30,FC Emmen,Excelsior,0,0,0,2,0,2,2,0,2
90,24,2023-03-05 19:00,Cambuur,G.A. Eagles,2,1,3,2,0,2,4,1,5
91,24,2023-03-05 15:45,Ajax,Nijmegen,0,0,0,1,0,1,1,0,1
92,24,2023-03-05 13:30,Waalwijk,PSV,0,1,1,0,0,0,0,1,1
93,24,2023-03-05 11:15,Excelsior,Sparta Rotterdam,1,1,2,0,3,3,1,4,5
94,24,2023-03-04 20:00,Twente,Heerenveen,1,1,2,2,2,4,3,3,6
95,24,2023-03-04 19:00,Feyenoord,Groningen,0,0,0,1,0,1,1,0,1
96,24,2023-03-04 17:45,FC Volendam,FC Emmen,0,0,0,3,1,4,3,1,4
97,24,2023-03-03 19:00,Utrecht,Sittard,0,0,0,1,2,3,1,2,3
98,24,2023-03-03 19:00,Vitesse,AZ Alkmaar,0,1,1,0,0,0,0,1,1
99,23,2023-02-26 15:45,PSV,Twente,1,0,1,2,1,3,3,1,4
100,23,2023-02-26 13:30,FC Emmen,G.A. Eagles,1,1,2,1,1,2,2,2,4
101,23,2023-02-26 13:30,Vitesse,Ajax,1,1,2,0,1,1,1,2,3
102,23,2023-02-26 11:15,Sittard,Feyenoord,0,3,3,2,1,3,2,4,6
103,23,2023-02-25 20:00,Nijmegen,FC Volendam,0,0,0,3,0,3,3,0,3
104,23,2023-02-25 19:00,AZ Alkmaar,Cambuur,1,0,1,1,1,2,2,1,3
105,23,2023-02-25 17:45,Heerenveen,Waalwijk,1,0,1,0,4,4,1,4,5
106,23,2023-02-25 15:30,Groningen,Excelsior,1,0,1,2,0,2,3,0,3
107,23,2023-02-24 19:00,Sparta Rotterdam,Utrecht,0,0,0,0,3,3,0,3,3
108,22,2023-02-19 19:00,Excelsior,Nijmegen,0,1,1,0,2,2,0,3,3
109,22,2023-02-19 15:45,Ajax,Sparta Rotterdam,2,0,2,2,0,2,4,0,4
110,22,2023-02-19 13:30,Utrecht,PSV,1,1,2,1,1,2,2,2,4
111,22,2023-02-19 13:30,G.A. Eagles,Twente,2,0,2,0,0,0,2,0,2
112,22,2023-02-19 11:15,Cambuur,Heerenveen,1,1,2,0,1,1,1,2,3
113,22,2023-02-18 20:00,Feyenoord,AZ Alkmaar,1,1,2,1,0,1,2,1,3
114,22,2023-02-18 17:45,Groningen,FC Emmen,1,1,2,0,0,0,1,1,2
115,22,2023-02-18 15:30,FC Volendam,Vitesse,1,0,1,1,0,1,2,0,2
116,22,2023-02-17 19:00,Waalwijk,Sittard,0,0,0,3,1,4,3,1,4
117,21,2023-02-12 15:45,Twente,FC Volendam,3,0,3,0,0,0,3,0,3
118,21,2023-02-12 15:45,Ajax,Waalwijk,0,1,1,3,0,3,3,1,4
119,21,2023-02-12 13:30,Heerenveen,Feyenoord,0,2,2,1,0,1,1,2,3
120,21,2023-02-12 13:30,Vitesse,Utrecht,0,0,0,2,0,2,2,0,2
121,21,2023-02-12 11:15,Sparta Rotterdam,G.A. Eagles,1,0,1,1,1,2,2,1,3
122,21,2023-02-11 20:00,FC Emmen,Sittard,0,0,0,0,1,1,0,1,1
123,21,2023-02-11 19:00,PSV,Groningen,1,0,1,5,0,5,6,0,6
124,21,2023-02-11 17:45,Nijmegen,Cambuur,0,0,0,0,0,0,0,0,0
125,21,2023-02-10 19:00,AZ Alkmaar,Excelsior,5,0,5,0,0,0,5,0,5
126,21,2023-02-05 15:45,Groningen,Twente,0,1,1,1,0,1,1,1,2
127,21,2023-02-05 13:30,G.A. Eagles,Nijmegen,1,0,1,0,0,0,1,0,1
128,21,2023-02-05 13:30,Feyenoord,PSV,0,1,1,2,1,3,2,2,4
129,21,2023-02-05 11:15,Cambuur,Ajax,0,2,2,0,3,3,0,5,5
130,21,2023-02-04 20:00,Excelsior,Waalwijk,0,0,0,0,0,0,0,0,0
131,21,2023-02-04 19:00,Utrecht,Heerenveen,0,0,0,1,0,1,1,0,1
132,21,2023-02-04 19:00,FC Emmen,Vitesse,1,2,3,1,0,1,2,2,4
133,21,2023-02-04 17:45,FC Volendam,AZ Alkmaar,0,0,0,1,1,2,1,1,2
134,21,2023-02-03 19:00,Sittard,Sparta Rotterdam,0,0,0,0,0,0,0,0,0
135,17,2023-02-01 19:00,Waalwijk,G.A. Eagles,1,1,2,2,0,2,3,1,4
136,19,2023-01-29 15:45,Cambuur,Sittard,1,0,1,0,2,2,1,2,3
137,19,2023-01-29 13:30,FC Volendam,Groningen,1,0,1,2,2,4,3,2,5
138,19,2023-01-29 13:30,Excelsior,Ajax,1,2,3,0,2,2,1,4,5
139,19,2023-01-29 11:15,Twente,Feyenoord,0,1,1,1,0,1,1,1,2
140,19,2023-01-28 20:00,AZ Alkmaar,Utrecht,3,3,6,2,2,4,5,5,10
141,19,2023-01-28 19:00,Nijmegen,Sparta Rotterdam,0,0,0,1,1,2,1,1,2
142,19,2023-01-28 19:00,Heerenveen,Vitesse,1,2,3,0,1,1,1,3,4
143,19,2023-01-28 17:45,Waalwijk,FC Emmen,2,0,2,0,0,0,2,0,2
144,19,2023-01-28 15:30,PSV,G.A. Eagles,1,0,1,1,0,1,2,0,2
145,18,2023-01-26 20:00,Ajax,FC Volendam,0,0,0,1,1,2,1,1,2
146,18,2023-01-26 17:45,Groningen,Cambuur,0,0,0,0,1,1,0,1,1
147,18,2023-01-25 20:00,Utrecht,Excelsior,1,0,1,0,0,0,1,0,1
148,18,2023-01-25 20:00,Feyenoord,Nijmegen,2,0,2,0,0,0,2,0,2
149,18,2023-01-25 19:00,Sittard,Heerenveen,0,0,0,2,0,2,2,0,2
150,18,2023-01-25 17:45,G.A. Eagles,AZ Alkmaar,0,1,1,1,3,4,1,4,5
151,18,2023-01-25 17:45,Vitesse,Twente,1,1,2,1,1,2,2,2,4
152,18,2023-01-24 20:00,Sparta Rotterdam,Waalwijk,0,0,0,0,0,0,0,0,0
