Unnamed: 0,mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
292,2,2022-08-13 19:00,Feyenoord,Heerenveen,0,0,0,0,0,0,0,0,0
293,2,2022-08-13 18:00,FC Emmen,Waalwijk,0,0,0,1,1,2,1,1,2
294,2,2022-08-13 18:00,Utrecht,Cambuur,0,0,0,0,0,0,0,0,0
295,2,2022-08-13 16:45,G.A. Eagles,PSV,1,3,4,1,2,3,2,5,7
296,2,2022-08-12 18:00,Excelsior,Vitesse,2,1,3,1,0,1,3,1,4
297,1,2022-08-07 14:45,AZ Alkmaar,G.A. Eagles,0,0,0,2,0,2,2,0,2
298,1,2022-08-07 12:30,Nijmegen,Twente,0,0,0,0,1,1,0,1,1
299,1,2022-08-07 12:30,Vitesse,Feyenoord,1,2,3,1,3,4,2,5,7
300,1,2022-08-07 10:15,Groningen,FC Volendam,2,1,3,0,1,1,2,2,4
301,1,2022-08-06 19:00,Waalwijk,Utrecht,2,0,2,0,2,2,2,2,4
302,1,2022-08-06 18:00,PSV,FC Emmen,3,0,3,1,1,2,4,1,5
303,1,2022-08-06 16:45,Cambuur,Excelsior,0,2,2,0,0,0,0,2,2
304,1,2022-08-06 14:30,Sittard,Ajax,1,0,1,1,3,4,2,3,5
305,1,2022-08-05 18:00,Heerenveen,Sparta Rotterdam,0,0,0,0,0,0,0,0,0
