journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
27,2023-04-08 13:30,Mainz,Werder Bremen,0,0,0,2,2,4,2,2,4
27,2023-04-08 13:30,Dortmund,Union Berlin,1,0,1,1,1,2,2,1,3
27,2023-04-08 13:30,Freiburg,Bayern Munich,0,0,0,0,1,1,0,1,1
27,2023-04-08 13:30,Augsburg,FC Koln,1,2,3,0,1,1,1,3,4
27,2023-04-08 13:30,Bayer Leverkusen,Eintracht Frankfurt,2,0,2,1,1,2,3,1,4
26,2023-04-02 15:30,Werder Bremen,Hoffenheim,0,0,0,1,2,3,1,2,3
26,2023-04-02 13:30,FC Koln,B. Monchengladbach,0,0,0,0,0,0,0,0,0
26,2023-04-01 16:30,Bayern Munich,Dortmund,3,0,3,1,2,3,4,2,6
26,2023-04-01 13:30,Union Berlin,Stuttgart,0,0,0,3,0,3,3,0,3
26,2023-04-01 13:30,Freiburg,Hertha Berlin,0,0,0,1,1,2,1,1,2
26,2023-04-01 13:30,Schalke,Bayer Leverkusen,0,0,0,0,3,3,0,3,3
26,2023-04-01 13:30,Wolfsburg,Augsburg,0,2,2,2,0,2,2,2,4
26,2023-04-01 13:30,RB Leipzig,Mainz,0,1,1,0,2,2,0,3,3
26,2023-03-31 18:30,Eintracht Frankfurt,Bochum,1,1,2,0,0,0,1,1,2
25,2023-03-19 18:30,Mainz,Freiburg,0,0,0,1,1,2,1,1,2
25,2023-03-19 16:30,Bayer Leverkusen,Bayern Munich,0,1,1,2,0,2,2,1,3
25,2023-03-19 14:30,Union Berlin,Eintracht Frankfurt,0,0,0,2,0,2,2,0,2
25,2023-03-18 17:30,Dortmund,FC Koln,4,1,5,2,0,2,6,1,7
25,2023-03-18 14:30,Bochum,RB Leipzig,0,0,0,1,0,1,1,0,1
25,2023-03-18 14:30,Augsburg,Schalke,0,0,0,1,1,2,1,1,2
25,2023-03-18 14:30,Stuttgart,Wolfsburg,0,0,0,0,1,1,0,1,1
25,2023-03-18 14:30,Hoffenheim,Hertha Berlin,2,0,2,1,1,2,3,1,4
25,2023-03-17 19:30,B. Monchengladbach,Werder Bremen,0,0,0,2,2,4,2,2,4
24,2023-03-12 18:30,Wolfsburg,Union Berlin,0,0,0,1,1,2,1,1,2
24,2023-03-12 16:30,Werder Bremen,Bayer Leverkusen,1,1,2,1,2,3,2,3,5
24,2023-03-12 14:30,Freiburg,Hoffenheim,1,0,1,1,1,2,2,1,3
24,2023-03-11 17:30,Schalke,Dortmund,0,1,1,2,1,3,2,2,4
24,2023-03-11 14:30,RB Leipzig,B. Monchengladbach,0,0,0,3,0,3,3,0,3
24,2023-03-11 14:30,Eintracht Frankfurt,Stuttgart,0,0,0,1,1,2,1,1,2
24,2023-03-11 14:30,Bayern Munich,Augsburg,4,1,5,1,2,3,5,3,8
24,2023-03-11 14:30,Hertha Berlin,Mainz,1,0,1,0,1,1,1,1,2
24,2023-03-10 19:30,FC Koln,Bochum,0,1,1,0,1,1,0,2,2
23,2023-03-05 16:30,Wolfsburg,Eintracht Frankfurt,2,2,4,0,0,0,2,2,4
23,2023-03-05 14:30,Bayer Leverkusen,Hertha Berlin,2,0,2,2,1,3,4,1,5
23,2023-03-04 17:30,Stuttgart,Bayern Munich,0,1,1,1,1,2,1,2,3
23,2023-03-04 14:30,B. Monchengladbach,Freiburg,0,0,0,0,0,0,0,0,0
23,2023-03-04 14:30,Union Berlin,FC Koln,0,0,0,0,0,0,0,0,0
23,2023-03-04 14:30,Mainz,Hoffenheim,1,0,1,0,0,0,1,0,1
