journée,date_time,home_team,away_team,1st_home_team_goal,1st_away_team_goal,1st_total_goal,2nd_home_team_goal,2nd_away_team_goal,2nd_total_goal,total_home_team_goal,total_away_team_goal,global
25,2023-04-05 19:15,Gil Vicente,Sporting,0,0,0,0,0,0,0,0,0
26,2023-04-03 19:15,Famalicao,Arouca,0,0,0,0,1,1,0,1,1
26,2023-04-02 19:30,FC Porto,Portimonense,1,0,1,0,0,0,1,0,1
26,2023-04-02 17:00,Rio Ave,Benfica,0,0,0,0,1,1,0,1,1
26,2023-04-02 14:30,Chaves,Braga,1,1,2,0,1,1,1,2,3
26,2023-04-02 14:30,Maritimo,Boavista,2,0,2,2,2,4,4,2,6
26,2023-04-01 19:30,Sporting,Santa Clara,2,0,2,1,0,1,3,0,3
26,2023-04-01 17:00,Guimaraes,Paços Ferreira,0,0,0,0,0,0,0,0,0
26,2023-04-01 14:30,Vizela,Casa Pia,1,1,2,2,0,2,3,1,4
26,2023-03-31 19:15,Estoril,Gil Vicente,1,0,1,0,0,0,1,0,1
25,2023-03-19 20:30,Boavista,Famalicao,0,0,0,1,2,3,1,2,3
25,2023-03-19 18:00,Braga,FC Porto,0,0,0,0,0,0,0,0,0
25,2023-03-19 15:30,Casa Pia,Maritimo,1,0,1,1,0,1,2,0,2
25,2023-03-18 20:30,Estoril,Chaves,0,1,1,0,1,1,0,2,2
25,2023-03-18 18:00,Benfica,Guimaraes,3,0,3,2,1,3,5,1,6
25,2023-03-18 18:00,Arouca,Paços Ferreira,0,0,0,1,1,2,1,1,2
25,2023-03-18 15:30,Portimonense,Vizela,0,0,0,0,1,1,0,1,1
25,2023-03-17 20:15,Santa Clara,Rio Ave,0,0,0,0,2,2,0,2,2
24,2023-03-13 20:15,Famalicao,Casa Pia,1,0,1,0,0,0,1,0,1
24,2023-03-12 20:30,Sporting,Boavista,2,0,2,1,0,1,3,0,3
24,2023-03-12 18:00,Maritimo,Benfica,0,1,1,0,2,2,0,3,3
24,2023-03-12 15:30,Rio Ave,Gil Vicente,2,0,2,0,1,1,2,1,3
24,2023-03-11 20:30,Vizela,Braga,0,1,1,0,3,3,0,4,4
24,2023-03-11 18:00,Guimaraes,Arouca,0,0,0,0,2,2,0,2,2
24,2023-03-11 15:30,Paços Ferreira,Santa Clara,0,0,0,1,0,1,1,0,1
24,2023-03-11 15:30,Chaves,Portimonense,1,0,1,1,0,1,2,0,2
24,2023-03-10 20:15,FC Porto,Estoril,2,1,3,1,1,2,3,2,5
23,2023-03-06 20:15,Casa Pia,Paços Ferreira,0,1,1,2,0,2,2,1,3
23,2023-03-05 20:30,Braga,Rio Ave,1,0,1,1,0,1,2,0,2
23,2023-03-05 18:00,Santa Clara,Guimaraes,0,3,3,1,0,1,1,3,4
23,2023-03-05 15:30,Gil Vicente,Maritimo,1,0,1,1,0,1,2,0,2
23,2023-03-04 20:30,Chaves,FC Porto,0,2,2,1,1,2,1,3,4
23,2023-03-04 18:00,Portimonense,Sporting,0,0,0,0,1,1,0,1,1
23,2023-03-04 15:30,Estoril,Vizela,0,2,2,0,1,1,0,3,3
23,2023-03-03 21:15,Benfica,Famalicao,1,0,1,1,0,1,2,0,2
23,2023-03-03 19:00,Boavista,Arouca,0,0,0,0,0,0,0,0,0
22,2023-02-27 21:15,Guimaraes,Braga,2,0,2,0,1,1,2,1,3
22,2023-02-27 19:00,Sporting,Estoril,1,0,1,1,0,1,2,0,2
22,2023-02-26 20:30,FC Porto,Gil Vicente,1,2,3,0,0,0,1,2,3
22,2023-02-26 18:00,Paços Ferreira,Boavista,0,1,1,1,2,3,1,3,4
22,2023-02-26 15:30,Rio Ave,Chaves,0,0,0,1,0,1,1,0,1
22,2023-02-25 20:30,Vizela,Benfica,0,1,1,0,1,1,0,2,2
22,2023-02-25 18:00,Maritimo,Santa Clara,0,1,1,3,0,3,3,1,4
22,2023-02-25 15:30,Arouca,Casa Pia,0,0,0,2,0,2,2,0,2
22,2023-02-24 20:15,Famalicao,Portimonense,0,0,0,1,0,1,1,0,1
21,2023-02-20 21:15,Benfica,Boavista,0,0,0,3,1,4,3,1,4
21,2023-02-20 19:00,Chaves,Sporting,1,1,2,1,2,3,2,3,5
21,2023-02-19 20:30,Casa Pia,Guimaraes,0,0,0,0,0,0,0,0,0
21,2023-02-19 18:00,Braga,Arouca,1,0,1,1,0,1,2,0,2
21,2023-02-19 15:30,Santa Clara,Famalicao,0,0,0,1,3,4,1,3,4
21,2023-02-18 20:30,FC Porto,Rio Ave,1,0,1,0,0,0,1,0,1
21,2023-02-18 18:00,Portimonense,Maritimo,0,1,1,2,0,2,2,1,3
21,2023-02-18 18:00,Estoril,Paços Ferreira,0,2,2,1,1,2,1,3,4
21,2023-02-17 20:15,Gil Vicente,Vizela,0,0,0,1,1,2,1,1,2
20,2023-02-13 21:15,Boavista,Casa Pia,0,0,0,0,0,0,0,0,0
20,2023-02-13 19:00,Rio Ave,Estoril,0,0,0,2,0,2,2,0,2
20,2023-02-12 20:30,Maritimo,Braga,1,2,3,0,0,0,1,2,3
20,2023-02-12 18:00,Sporting,FC Porto,0,0,0,1,2,3,1,2,3
20,2023-02-12 15:30,Famalicao,Gil Vicente,0,0,0,0,1,1,0,1,1
20,2023-02-11 20:30,Guimaraes,Portimonense,1,0,1,0,0,0,1,0,1
20,2023-02-11 18:00,Arouca,Santa Clara,0,0,0,1,0,1,1,0,1
20,2023-02-10 20:15,Vizela,Chaves,0,0,0,0,0,0,0,0,0
14,2023-02-09 18:00,Estoril,Boavista,0,1,1,2,0,2,2,1,3
19,2023-02-06 21:15,Rio Ave,Sporting,0,0,0,0,1,1,0,1,1
19,2023-02-06 19:00,Portimonense,Paços Ferreira,0,0,0,1,0,1,1,0,1
19,2023-02-05 20:30,Gil Vicente,Arouca,1,1,2,0,0,0,1,1,2
19,2023-02-05 18:00,FC Porto,Vizela,1,0,1,1,0,1,2,0,2
19,2023-02-05 15:30,Chaves,Maritimo,2,1,3,0,0,0,2,1,3
19,2023-02-05 15:30,Braga,Famalicao,1,0,1,3,1,4,4,1,5
19,2023-02-04 20:30,Estoril,Guimaraes,0,1,1,0,0,0,0,1,1
19,2023-02-04 18:00,Benfica,Casa Pia,2,0,2,1,0,1,3,0,3
19,2023-02-04 15:30,Santa Clara,Boavista,0,1,1,2,1,3,2,2,4
18,2023-02-01 21:15,Sporting,Braga,1,0,1,4,0,4,5,0,5
18,2023-02-01 19:00,Maritimo,FC Porto,0,0,0,0,2,2,0,2,2
18,2023-01-31 21:15,Arouca,Benfica,0,1,1,0,2,2,0,3,3
18,2023-01-31 19:00,Paços Ferreira,Gil Vicente,1,0,1,1,1,2,2,1,3
18,2023-01-30 20:15,Guimaraes,Chaves,1,0,1,1,1,2,2,1,3
18,2023-01-29 20:30,Famalicao,Estoril,0,0,0,1,0,1,1,0,1
18,2023-01-29 18:00,Boavista,Portimonense,0,0,0,4,2,6,4,2,6
18,2023-01-29 15:30,Casa Pia,Santa Clara,0,0,0,2,1,3,2,1,3
18,2023-01-29 15:30,Vizela,Rio Ave,0,1,1,3,0,3,3,1,4
20,2023-01-26 20:15,Paços Ferreira,Benfica,0,2,2,0,0,0,0,2,2
17,2023-01-23 20:15,Boavista,Chaves,1,0,1,0,1,1,1,1,2
17,2023-01-22 20:30,Famalicao,Rio Ave,0,0,0,0,0,0,0,0,0
17,2023-01-22 18:00,Casa Pia,Gil Vicente,0,0,0,1,3,4,1,3,4
17,2023-01-22 15:30,Maritimo,Estoril,1,0,1,0,0,0,1,0,1
17,2023-01-21 20:30,Guimaraes,FC Porto,0,1,1,0,0,0,0,1,1
17,2023-01-21 18:00,Santa Clara,Benfica,0,2,2,0,1,1,0,3,3
17,2023-01-21 15:30,Paços Ferreira,Braga,0,0,0,1,2,3,1,2,3
17,2023-01-20 21:15,Sporting,Vizela,0,0,0,2,1,3,2,1,3
17,2023-01-20 19:00,Arouca,Portimonense,2,0,2,2,0,2,4,0,4
16,2023-01-16 21:15,Gil Vicente,Guimaraes,1,1,2,1,0,1,2,1,3
16,2023-01-16 19:00,Estoril,Casa Pia,1,0,1,1,0,1,2,0,2
16,2023-01-15 20:30,FC Porto,Famalicao,3,0,3,1,1,2,4,1,5
16,2023-01-15 18:00,Benfica,Sporting,1,1,2,1,1,2,2,2,4
16,2023-01-15 15:30,Chaves,Arouca,1,0,1,0,1,1,1,1,2
16,2023-01-14 20:30,Braga,Boavista,0,0,0,1,0,1,1,0,1
