mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
16,2022-12-27 14:00,Basaksehir,Antalyaspor,0,0,0,2,0,2,2,0,2
15,2022-12-25 16:00,Galatasaray,Istanbulspor,2,0,2,0,1,1,2,1,3
15,2022-12-25 13:00,Gaziantep,Besiktas,0,0,0,1,1,2,1,1,2
15,2022-12-25 13:00,Konyaspor,Alanyaspor,1,0,1,1,2,3,2,2,4
15,2022-12-25 10:30,Adana Demirspor,Karagumruk,2,1,3,0,0,0,2,1,3
15,2022-12-24 16:00,Trabzonspor,Fenerbahce,0,0,0,2,0,2,2,0,2
15,2022-12-24 13:00,Kasimpasa,Sivasspor,1,1,2,0,1,1,1,2,3
15,2022-12-24 10:30,Hatayspor,Giresunspor,0,0,0,1,1,2,1,1,2
15,2022-12-23 17:00,Antalyaspor,Ankaragucu,0,0,0,0,2,2,0,2,2
15,2022-12-23 17:00,Umraniyespor,Basaksehir,1,1,2,0,2,2,1,3,4
14,2022-11-13 14:00,Istanbulspor,Hatayspor,0,1,1,0,0,0,0,1,1
14,2022-11-13 14:00,Kayserispor,Konyaspor,1,2,3,0,0,0,1,2,3
14,2022-11-13 11:30,Karagumruk,Gaziantep,1,2,3,2,1,3,3,3,6
14,2022-11-12 17:00,Basaksehir,Galatasaray,0,3,3,0,4,4,0,7,7
14,2022-11-12 14:00,Fenerbahce,Giresunspor,1,0,1,0,2,2,1,2,3
14,2022-11-12 11:30,Sivasspor,Umraniyespor,1,1,2,1,1,2,2,2,4
14,2022-11-11 17:00,Alanyaspor,Adana Demirspor,0,0,0,0,0,0,0,0,0
14,2022-11-11 17:00,Ankaragucu,Trabzonspor,0,0,0,1,1,2,1,1,2
13,2022-11-07 17:00,Fenerbahce,Sivasspor,0,0,0,1,0,1,1,0,1
13,2022-11-07 17:00,Hatayspor,Basaksehir,1,0,1,2,3,5,3,3,6
13,2022-11-06 17:00,Trabzonspor,Konyaspor,2,1,3,0,1,1,2,2,4
13,2022-11-06 14:00,Antalyaspor,Karagumruk,3,2,5,1,0,1,4,2,6
13,2022-11-06 11:30,Gaziantep,Kayserispor,0,1,1,1,1,2,1,2,3
13,2022-11-05 17:00,Galatasaray,Besiktas,1,1,2,1,0,1,2,1,3
13,2022-11-05 11:30,Giresunspor,Istanbulspor,1,1,2,2,1,3,3,2,5
13,2022-11-04 17:00,Kasimpasa,Ankaragucu,0,0,0,1,1,2,1,1,2
13,2022-11-04 17:00,Umraniyespor,Alanyaspor,2,0,2,1,1,2,3,1,4
12,2022-10-31 17:00,Basaksehir,Giresunspor,1,0,1,2,1,3,3,1,4
12,2022-10-31 17:00,Sivasspor,Antalyaspor,0,2,2,0,0,0,0,2,2
12,2022-10-30 17:00,Istanbulspor,Fenerbahce,0,2,2,2,3,5,2,5,7
12,2022-10-30 14:00,Besiktas,Umraniyespor,2,1,3,3,1,4,5,2,7
12,2022-10-30 14:00,Kayserispor,Adana Demirspor,0,1,1,2,1,3,2,2,4
12,2022-10-30 11:30,Ankaragucu,Hatayspor,1,0,1,3,1,4,4,1,5
12,2022-10-29 17:00,Alanyaspor,Gaziantep,1,0,1,1,0,1,2,0,2
12,2022-10-29 11:30,Konyaspor,Kasimpasa,0,0,0,1,1,2,1,1,2
11,2022-10-28 17:00,Karagumruk,Galatasaray,0,0,0,0,2,2,0,2,2
11,2022-10-24 17:00,Giresunspor,Ankaragucu,0,0,0,1,1,2,1,1,2
11,2022-10-24 17:00,Hatayspor,Besiktas,0,1,1,2,0,2,2,1,3
11,2022-10-23 17:00,Galatasaray,Alanyaspor,2,0,2,0,2,2,2,2,4
11,2022-10-23 14:00,Adana Demirspor,Konyaspor,1,1,2,0,0,0,1,1,2
11,2022-10-23 11:30,Kasimpasa,Kayserispor,0,1,1,0,0,0,0,1,1
11,2022-10-22 17:00,Fenerbahce,Basaksehir,0,0,0,1,0,1,1,0,1
11,2022-10-22 14:00,Trabzonspor,Sivasspor,1,0,1,0,0,0,1,0,1
11,2022-10-22 11:30,Umraniyespor,Karagumruk,1,1,2,0,2,2,1,3,4
10,2022-10-21 17:00,Antalyaspor,Istanbulspor,1,1,2,1,0,1,2,1,3
10,2022-10-17 17:00,Ankaragucu,Fenerbahce,0,2,2,0,1,1,0,3,3
10,2022-10-17 17:00,Sivasspor,Giresunspor,2,0,2,1,0,1,3,0,3
10,2022-10-16 17:00,Besiktas,Trabzonspor,1,2,3,1,0,1,2,2,4
10,2022-10-16 14:00,Basaksehir,Istanbulspor,1,0,1,1,0,1,2,0,2
10,2022-10-15 17:00,Kayserispor,Galatasaray,2,0,2,0,1,1,2,1,3
10,2022-10-15 17:00,Konyaspor,Gaziantep,0,0,0,0,1,1,0,1,1
10,2022-10-15 14:00,Kasimpasa,Adana Demirspor,0,2,2,1,2,3,1,4,5
10,2022-10-15 11:30,Karagumruk,Hatayspor,2,0,2,1,0,1,3,0,3
9,2022-10-14 17:00,Alanyaspor,Antalyaspor,1,0,1,2,2,4,3,2,5
9,2022-10-10 17:00,Basaksehir,Sivasspor,0,1,1,0,1,1,0,2,2
9,2022-10-10 17:00,Trabzonspor,Kasimpasa,0,0,0,0,0,0,0,0,0
9,2022-10-09 17:00,Fenerbahce,Karagumruk,2,2,4,3,2,5,5,4,9
9,2022-10-09 14:00,Hatayspor,Alanyaspor,0,0,0,1,0,1,1,0,1
9,2022-10-09 11:30,Umraniyespor,Kayserispor,0,1,1,2,1,3,2,2,4
9,2022-10-08 17:00,Giresunspor,Besiktas,0,1,1,0,0,0,0,1,1
9,2022-10-08 14:00,Antalyaspor,Konyaspor,0,0,0,1,1,2,1,1,2
9,2022-10-08 11:30,Istanbulspor,Ankaragucu,0,1,1,1,1,2,1,2,3
8,2022-10-07 17:00,Gaziantep,Adana Demirspor,0,0,0,1,1,2,1,1,2
8,2022-10-03 17:00,Karagumruk,Istanbulspor,1,0,1,0,2,2,1,2,3
8,2022-10-02 17:00,Besiktas,Fenerbahce,0,0,0,0,0,0,0,0,0
8,2022-10-02 14:00,Konyaspor,Umraniyespor,1,0,1,0,0,0,1,0,1
8,2022-10-02 11:30,Alanyaspor,Giresunspor,0,0,0,1,1,2,1,1,2
8,2022-10-02 11:30,Sivasspor,Hatayspor,1,2,3,0,0,0,1,2,3
8,2022-10-01 17:00,Adana Demirspor,Galatasaray,0,0,0,0,0,0,0,0,0
8,2022-10-01 14:00,Ankaragucu,Basaksehir,0,1,1,1,1,2,1,2,3
8,2022-10-01 14:00,Kayserispor,Trabzonspor,1,0,1,0,2,2,1,2,3
7,2022-10-01 11:30,Kasimpasa,Gaziantep,0,0,0,1,0,1,1,0,1
7,2022-09-18 17:00,Ankaragucu,Sivasspor,2,0,2,0,1,1,2,1,3
7,2022-09-18 17:00,Fenerbahce,Alanyaspor,3,0,3,2,0,2,5,0,5
7,2022-09-18 14:00,Basaksehir,Karagumruk,0,0,0,0,0,0,0,0,0
7,2022-09-18 14:00,Trabzonspor,Gaziantep,2,2,4,1,0,1,3,2,5
7,2022-09-17 17:00,Antalyaspor,Adana Demirspor,0,1,1,0,2,2,0,3,3
7,2022-09-17 17:00,Istanbulspor,Besiktas,1,2,3,1,0,1,2,2,4
7,2022-09-17 14:00,Umraniyespor,Kasimpasa,0,1,1,1,1,2,1,2,3
7,2022-09-16 17:00,Galatasaray,Konyaspor,1,1,2,1,0,1,2,1,3
6,2022-09-16 17:00,Hatayspor,Kayserispor,0,2,2,0,2,2,0,4,4
6,2022-09-12 18:30,Adana Demirspor,Trabzonspor,1,1,2,2,1,3,3,2,5
6,2022-09-12 16:00,Besiktas,Basaksehir,0,0,0,0,1,1,0,1,1
6,2022-09-11 17:00,Gaziantep,Umraniyespor,0,0,0,1,1,2,1,1,2
6,2022-09-11 17:00,Kasimpasa,Galatasaray,1,1,2,1,2,3,2,3,5
6,2022-09-11 17:00,Kayserispor,Antalyaspor,0,0,0,1,0,1,1,0,1
6,2022-09-11 14:00,Sivasspor,Istanbulspor,0,0,0,1,1,2,1,1,2
6,2022-09-10 17:00,Karagumruk,Giresunspor,0,0,0,1,1,2,1,1,2
6,2022-09-10 14:00,Konyaspor,Hatayspor,0,0,0,1,0,1,1,0,1
5,2022-09-09 17:00,Alanyaspor,Ankaragucu,0,0,0,2,1,3,2,1,3
5,2022-09-05 18:00,Galatasaray,Gaziantep,1,1,2,1,0,1,2,1,3
5,2022-09-04 18:45,Ankaragucu,Besiktas,1,2,3,1,1,2,2,3,5
5,2022-09-04 18:45,Antalyaspor,Kasimpasa,0,1,1,0,1,1,0,2,2
5,2022-09-04 16:15,Hatayspor,Adana Demirspor,1,0,1,0,1,1,1,1,2
5,2022-09-03 18:45,Fenerbahce,Kayserispor,1,0,1,1,0,1,2,0,2
5,2022-09-03 18:45,Giresunspor,Konyaspor,0,0,0,0,1,1,0,1,1
5,2022-09-03 16:15,Basaksehir,Alanyaspor,1,0,1,1,0,1,2,0,2
5,2022-09-03 16:15,Sivasspor,Karagumruk,0,0,0,0,0,0,0,0,0
4,2022-09-02 18:00,Umraniyespor,Trabzonspor,0,0,0,0,1,1,0,1,1
4,2022-08-29 18:45,Besiktas,Sivasspor,3,0,3,0,1,1,3,1,4
4,2022-08-29 16:15,Konyaspor,Fenerbahce,0,0,0,1,0,1,1,0,1
4,2022-08-28 18:45,Trabzonspor,Galatasaray,0,0,0,0,0,0,0,0,0
4,2022-08-28 16:15,Kasimpasa,Hatayspor,1,0,1,0,0,0,1,0,1
4,2022-08-28 16:15,Kayserispor,Giresunspor,1,0,1,2,0,2,3,0,3
4,2022-08-27 18:45,Adana Demirspor,Umraniyespor,1,0,1,0,0,0,1,0,1
4,2022-08-27 18:45,Alanyaspor,Istanbulspor,0,0,0,0,1,1,0,1,1
4,2022-08-27 16:15,Karagumruk,Ankaragucu,2,0,2,2,1,3,4,1,5
3,2022-08-26 18:00,Gaziantep,Antalyaspor,1,2,3,4,0,4,5,2,7
3,2022-08-22 18:45,Fenerbahce,Adana Demirspor,2,0,2,2,2,4,4,2,6
3,2022-08-22 16:15,Istanbulspor,Konyaspor,0,2,2,0,2,2,0,4,4
3,2022-08-22 16:15,Sivasspor,Alanyaspor,1,0,1,0,1,1,1,1,2
3,2022-08-21 18:45,Besiktas,Karagumruk,2,0,2,2,1,3,4,1,5
3,2022-08-21 16:15,Basaksehir,Kayserispor,1,0,1,1,0,1,2,0,2
3,2022-08-20 18:45,Antalyaspor,Trabzonspor,2,1,3,3,1,4,5,2,7
3,2022-08-20 16:15,Giresunspor,Kasimpasa,0,0,0,1,0,1,1,0,1
3,2022-08-20 16:15,Hatayspor,Gaziantep,1,1,2,0,1,1,1,2,3
2,2022-08-19 18:00,Umraniyespor,Galatasaray,0,0,0,0,1,1,0,1,1
2,2022-08-15 18:45,Kasimpasa,Fenerbahce,0,3,3,0,3,3,0,6,6
2,2022-08-15 16:15,Konyaspor,Basaksehir,0,0,0,0,0,0,0,0,0
2,2022-08-14 18:45,Alanyaspor,Besiktas,1,3,4,2,0,2,3,3,6
2,2022-08-14 16:15,Gaziantep,Ankaragucu,0,0,0,1,0,1,1,0,1
2,2022-08-14 16:15,Umraniyespor,Antalyaspor,0,0,0,0,1,1,0,1,1
2,2022-08-13 18:45,Adana Demirspor,Sivasspor,1,0,1,2,0,2,3,0,3
2,2022-08-13 18:45,Galatasaray,Giresunspor,0,0,0,0,1,1,0,1,1
2,2022-08-13 16:15,Kayserispor,Istanbulspor,1,0,1,0,0,0,1,0,1
1,2022-08-12 18:00,Trabzonspor,Hatayspor,0,0,0,1,0,1,1,0,1
1,2022-08-08 18:45,Ankaragucu,Konyaspor,0,0,0,0,0,0,0,0,0
1,2022-08-08 18:45,Fenerbahce,Umraniyespor,2,1,3,1,2,3,3,3,6
1,2022-08-08 16:15,Basaksehir,Kasimpasa,2,0,2,2,0,2,4,0,4
1,2022-08-07 18:45,Antalyaspor,Galatasaray,0,0,0,0,1,1,0,1,1
1,2022-08-07 16:15,Giresunspor,Adana Demirspor,0,2,2,2,1,3,2,3,5
1,2022-08-07 16:15,Karagumruk,Alanyaspor,0,2,2,2,2,4,2,4,6
1,2022-08-06 18:45,Besiktas,Kayserispor,0,0,0,1,0,1,1,0,1
1,2022-08-06 16:15,Sivasspor,Gaziantep,0,1,1,1,0,1,1,1,2
1,2022-08-05 18:00,Istanbulspor,Trabzonspor,0,1,1,0,1,1,0,2,2
