mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
6,2022-08-30 18:45,Niort,Valenciennes,0,1,1,0,0,0,0,1,1
6,2022-08-30 18:45,Laval,Le Havre,1,0,1,0,3,3,1,3,4
6,2022-08-30 18:45,Guingamp,Sochaux,1,1,2,0,1,1,1,2,3
6,2022-08-30 18:45,Saint-Étienne,Bastia,4,0,4,1,0,1,5,0,5
6,2022-08-30 18:45,Rodez,Metz,0,3,3,1,1,2,1,4,5
6,2022-08-30 18:45,Bordeaux,Quevilly-Rouen,3,0,3,1,0,1,4,0,4
6,2022-08-30 18:45,Caen,Pau FC,1,1,2,0,0,0,1,1,2
6,2022-08-30 18:45,Dijon,Annecy,0,1,1,0,1,1,0,2,2
6,2022-08-30 18:45,Amiens,Paris FC,0,0,0,1,1,2,1,1,2
6,2022-08-30 18:45,Grenoble,Nîmes,1,0,1,2,2,4,3,2,5
5,2022-08-27 17:00,Annecy,Grenoble,0,0,0,0,0,0,0,0,0
5,2022-08-27 17:00,Nîmes,Laval,0,0,0,1,0,1,1,0,1
5,2022-08-27 17:00,Bastia,Rodez,0,0,0,0,2,2,0,2,2
5,2022-08-27 17:00,Le Havre,Amiens,0,1,1,1,0,1,1,1,2
5,2022-08-27 17:00,Sochaux,Niort,1,0,1,2,0,2,3,0,3
5,2022-08-27 17:00,Paris FC,Caen,0,1,1,1,0,1,1,1,2
5,2022-08-27 17:00,Valenciennes,Saint-Étienne,1,1,2,1,1,2,2,2,4
5,2022-08-27 17:00,Quevilly-Rouen,Pau FC,0,0,0,2,1,3,2,1,3
5,2022-08-27 13:00,Bordeaux,Guingamp,0,1,1,0,0,0,0,1,1
5,2022-08-27 13:00,Metz,Dijon,0,1,1,1,1,2,1,2,3
4,2022-08-22 18:45,Grenoble,Bordeaux,0,0,0,0,0,0,0,0,0
4,2022-08-20 17:00,Laval,Metz,1,3,4,2,0,2,3,3,6
4,2022-08-20 17:00,Caen,Guingamp,2,1,3,2,0,2,4,1,5
4,2022-08-20 17:00,Dijon,Nîmes,1,0,1,1,1,2,2,1,3
4,2022-08-20 17:00,Amiens,Bastia,2,1,3,1,0,1,3,1,4
4,2022-08-20 17:00,Pau FC,Sochaux,0,1,1,0,2,2,0,3,3
4,2022-08-20 17:00,Valenciennes,Quevilly-Rouen,0,0,0,0,0,0,0,0,0
4,2022-08-20 17:00,Niort,Paris FC,0,0,0,2,1,3,2,1,3
4,2022-08-20 17:00,Rodez,Annecy,1,2,3,1,0,1,2,2,4
4,2022-08-20 13:00,Saint-Étienne,Le Havre,0,0,0,0,6,6,0,6,6
3,2022-08-15 18:45,Quevilly-Rouen,Saint-Étienne,2,2,4,0,0,0,2,2,4
3,2022-08-13 17:00,Dijon,Caen,0,0,0,2,2,4,2,2,4
3,2022-08-13 17:00,Annecy,Laval,0,1,1,0,0,0,0,1,1
3,2022-08-13 17:00,Bordeaux,Niort,0,0,0,1,0,1,1,0,1
3,2022-08-13 17:00,Bastia,Grenoble,2,0,2,1,0,1,3,0,3
3,2022-08-13 17:00,Metz,Valenciennes,1,0,1,1,0,1,2,0,2
3,2022-08-13 17:00,Nîmes,Rodez,0,0,0,1,0,1,1,0,1
3,2022-08-13 17:00,Le Havre,Pau FC,1,0,1,0,1,1,1,1,2
3,2022-08-13 17:00,Sochaux,Amiens,0,0,0,0,1,1,0,1,1
3,2022-08-13 13:00,Guingamp,Paris FC,0,0,0,0,0,0,0,0,0
2,2022-08-08 18:45,Caen,Metz,1,0,1,0,0,0,1,0,1
2,2022-08-06 17:00,Niort,Bastia,0,4,4,1,0,1,1,4,5
2,2022-08-06 17:00,Grenoble,Sochaux,1,0,1,0,0,0,1,0,1
2,2022-08-06 17:00,Amiens,Annecy,0,0,0,1,0,1,1,0,1
2,2022-08-06 17:00,Laval,Guingamp,1,0,1,0,2,2,1,2,3
2,2022-08-06 17:00,Paris FC,Quevilly-Rouen,2,0,2,0,1,1,2,1,3
2,2022-08-06 17:00,Pau FC,Dijon,0,0,0,0,0,0,0,0,0
2,2022-08-06 17:00,Rodez,Bordeaux,0,2,2,0,1,1,0,3,3
2,2022-08-06 17:00,Valenciennes,Le Havre,1,0,1,0,0,0,1,0,1
2,2022-08-06 13:00,Saint-Étienne,Nîmes,1,1,2,0,0,0,1,1,2
1,2022-08-01 18:45,Sochaux,Paris FC,0,0,0,0,0,0,0,0,0
1,2022-07-30 17:00,Annecy,Niort,0,2,2,1,0,1,1,2,3
1,2022-07-30 17:00,Bastia,Laval,0,1,1,0,1,1,0,2,2
1,2022-07-30 17:00,Bordeaux,Valenciennes,0,0,0,0,0,0,0,0,0
1,2022-07-30 17:00,Guingamp,Pau FC,3,0,3,1,0,1,4,0,4
1,2022-07-30 17:00,Le Havre,Grenoble,0,0,0,0,0,0,0,0,0
1,2022-07-30 17:00,Metz,Amiens,2,0,2,1,0,1,3,0,3
1,2022-07-30 17:00,Nîmes,Caen,0,0,0,0,1,1,0,1,1
1,2022-07-30 17:00,Quevilly-Rouen,Rodez,0,0,0,0,0,0,0,0,0
1,2022-07-30 13:00,Dijon,Saint-Étienne,2,0,2,0,1,1,2,1,3
