mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
29,2023-04-01 17:00,Bastia,Sochaux,1,2,3,2,0,2,3,2,5
29,2023-04-01 17:00,Metz,Laval,0,0,0,1,0,1,1,0,1
29,2023-04-01 17:00,Caen,Dijon,0,1,1,2,0,2,2,1,3
29,2023-04-01 17:00,Valenciennes,Paris FC,2,2,4,2,3,5,4,5,9
29,2023-04-01 17:00,Nîmes,Annecy,2,0,2,2,0,2,4,0,4
29,2023-04-01 17:00,Rodez,Quevilly-Rouen,0,0,0,1,0,1,1,0,1
29,2023-04-01 17:00,Pau FC,Le Havre,0,1,1,0,0,0,0,1,1
29,2023-04-01 13:00,Saint-Étienne,Niort,0,0,0,2,0,2,2,0,2
28,2023-03-18 18:00,Annecy,Guingamp,1,1,2,0,0,0,1,1,2
28,2023-03-18 18:00,Niort,Laval,1,1,2,2,1,3,3,2,5
28,2023-03-18 18:00,Sochaux,Grenoble,0,0,0,1,0,1,1,0,1
28,2023-03-18 18:00,Paris FC,Bastia,0,0,0,0,1,1,0,1,1
28,2023-03-18 18:00,Dijon,Pau FC,0,1,1,0,0,0,0,1,1
28,2023-03-18 18:00,Caen,Valenciennes,1,1,2,1,0,1,2,1,3
28,2023-03-18 18:00,Amiens,Rodez,1,1,2,0,2,2,1,3,4
28,2023-03-18 18:00,Quevilly-Rouen,Metz,0,0,0,1,2,3,1,2,3
28,2023-03-18 18:00,Bordeaux,Nîmes,0,0,0,1,0,1,1,0,1
28,2023-03-18 14:00,Le Havre,Saint-Étienne,0,0,0,2,2,4,2,2,4
23,2023-03-14 18:00,Paris FC,Amiens,1,0,1,2,0,2,3,0,3
27,2023-03-13 19:45,Metz,Le Havre,1,0,1,0,1,1,1,1,2
27,2023-03-11 18:00,Rodez,Caen,2,1,3,1,1,2,3,2,5
27,2023-03-11 18:00,Grenoble,Annecy,1,1,2,1,0,1,2,1,3
27,2023-03-11 18:00,Guingamp,Dijon,1,0,1,1,0,1,2,0,2
27,2023-03-11 18:00,Laval,Paris FC,1,1,2,0,1,1,1,2,3
27,2023-03-11 18:00,Nîmes,Quevilly-Rouen,0,0,0,2,0,2,2,0,2
27,2023-03-11 18:00,Valenciennes,Bastia,1,1,2,1,1,2,2,2,4
27,2023-03-11 18:00,Pau FC,Niort,1,0,1,0,0,0,1,0,1
27,2023-03-11 18:00,Saint-Étienne,Amiens,0,0,0,1,1,2,1,1,2
27,2023-03-11 14:00,Sochaux,Bordeaux,1,1,2,0,0,0,1,1,2
26,2023-03-06 19:45,Caen,Sochaux,0,0,0,0,0,0,0,0,0
26,2023-03-04 18:00,Paris FC,Guingamp,0,2,2,1,0,1,1,2,3
26,2023-03-04 18:00,Niort,Rodez,1,2,3,1,1,2,2,3,5
26,2023-03-04 18:00,Quevilly-Rouen,Valenciennes,0,1,1,1,0,1,1,1,2
26,2023-03-04 18:00,Annecy,Metz,0,1,1,0,2,2,0,3,3
26,2023-03-04 18:00,Amiens,Pau FC,1,0,1,0,0,0,1,0,1
26,2023-03-04 18:00,Bastia,Nîmes,2,1,3,2,1,3,4,2,6
26,2023-03-04 18:00,Dijon,Grenoble,1,0,1,0,0,0,1,0,1
26,2023-03-04 18:00,Le Havre,Laval,1,1,2,1,0,1,2,1,3
26,2023-03-04 14:00,Bordeaux,Saint-Étienne,0,0,0,1,1,2,1,1,2
25,2023-02-27 19:45,Amiens,Bordeaux,1,0,1,0,2,2,1,2,3
25,2023-02-25 18:00,Laval,Quevilly-Rouen,0,0,0,0,1,1,0,1,1
25,2023-02-25 18:00,Paris FC,Niort,0,0,0,3,0,3,3,0,3
25,2023-02-25 18:00,Metz,Nîmes,1,0,1,1,0,1,2,0,2
