mp,date_time,home_team,away_team,1st_score,1st_concede,1st_global,2nd_score,2nd_concede,2nd_global,total_score,total_concede,global
17,2023-02-01 19:00,Waalwijk,G.A. Eagles,1,1,2,2,0,2,3,1,4
19,2023-01-29 15:45,Cambuur,Sittard,1,0,1,0,2,2,1,2,3
19,2023-01-29 13:30,Excelsior,Ajax,1,2,3,0,2,2,1,4,5
19,2023-01-29 13:30,FC Volendam,Groningen,1,0,1,2,2,4,3,2,5
19,2023-01-29 11:15,Twente,Feyenoord,0,1,1,1,0,1,1,1,2
19,2023-01-28 20:00,AZ Alkmaar,Utrecht,3,3,6,2,2,4,5,5,10
19,2023-01-28 19:00,Nijmegen,Sparta Rotterdam,0,0,0,1,1,2,1,1,2
19,2023-01-28 19:00,Heerenveen,Vitesse,1,2,3,0,1,1,1,3,4
19,2023-01-28 17:45,Waalwijk,FC Emmen,2,0,2,0,0,0,2,0,2
19,2023-01-28 15:30,PSV,G.A. Eagles,1,0,1,1,0,1,2,0,2
18,2023-01-26 20:00,Ajax,FC Volendam,0,0,0,1,1,2,1,1,2
18,2023-01-26 17:45,Groningen,Cambuur,0,0,0,0,1,1,0,1,1
18,2023-01-25 20:00,Feyenoord,Nijmegen,2,0,2,0,0,0,2,0,2
18,2023-01-25 20:00,Utrecht,Excelsior,1,0,1,0,0,0,1,0,1
18,2023-01-25 19:00,Sittard,Heerenveen,0,0,0,2,0,2,2,0,2
18,2023-01-25 17:45,G.A. Eagles,AZ Alkmaar,0,1,1,1,3,4,1,4,5
18,2023-01-25 17:45,Vitesse,Twente,1,1,2,1,1,2,2,2,4
18,2023-01-24 20:00,Sparta Rotterdam,Waalwijk,0,0,0,0,0,0,0,0,0
18,2023-01-24 17:45,FC Emmen,PSV,1,0,1,0,0,0,1,0,1
17,2023-01-22 15:45,AZ Alkmaar,Sittard,2,1,3,1,0,1,3,1,4
17,2023-01-22 13:30,Twente,Utrecht,1,0,1,1,0,1,2,0,2
17,2023-01-22 13:30,Feyenoord,Ajax,1,0,1,0,1,1,1,1,2
17,2023-01-22 11:15,Heerenveen,Groningen,1,1,2,2,0,2,3,1,4
17,2023-01-21 19:00,Cambuur,Sparta Rotterdam,0,2,2,0,1,1,0,3,3
17,2023-01-21 19:00,PSV,Vitesse,0,0,0,1,0,1,1,0,1
17,2023-01-21 17:45,Nijmegen,FC Emmen,2,1,3,1,0,1,3,1,4
17,2023-01-20 19:00,Excelsior,FC Volendam,1,0,1,1,0,1,2,0,2
16,2023-01-15 15:45,FC Emmen,Cambuur,0,0,0,0,0,0,0,0,0
16,2023-01-15 15:45,Groningen,Feyenoord,0,2,2,0,1,1,0,3,3
16,2023-01-15 13:30,G.A. Eagles,Utrecht,1,2,3,1,0,1,2,2,4
16,2023-01-15 13:30,Sittard,PSV,1,0,1,1,2,3,2,2,4
16,2023-01-15 11:15,Vitesse,Nijmegen,0,0,0,0,0,0,0,0,0
16,2023-01-14 20:00,Ajax,Twente,0,0,0,0,0,0,0,0,0
16,2023-01-14 20:00,Sparta Rotterdam,Excelsior,0,0,0,1,0,1,1,0,1
16,2023-01-14 17:45,FC Volendam,Waalwijk,0,0,0,2,1,3,2,1,3
16,2023-01-14 17:45,Heerenveen,AZ Alkmaar,0,1,1,0,1,1,0,2,2
15,2023-01-08 15:45,Excelsior,Groningen,0,0,0,1,0,1,1,0,1
15,2023-01-08 13:30,Cambuur,FC Volendam,0,2,2,0,1,1,0,3,3
15,2023-01-08 13:30,Nijmegen,Ajax,0,1,1,1,0,1,1,1,2
15,2023-01-08 11:15,Utrecht,Feyenoord,1,0,1,0,1,1,1,1,2
15,2023-01-07 20:00,PSV,Sparta Rotterdam,0,0,0,0,0,0,0,0,0
